"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway","ge_lfc","ge_pval","significant"
"28",72,"3.6.3.14","ATP5G3","ENSG00000154518","518",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.211180670997077,0.0124349632971244,TRUE
"29",72,"3.6.3.14","ATP5J","ENSG00000154723","522",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.27123229808374,0.00500125747869025,TRUE
"30",72,"3.6.3.14","ATP6V1A","ENSG00000114573","523",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.165110160506527,0.0489421661963876,TRUE
"31",72,"3.6.3.14","ATP6V0C","ENSG00000185883","527",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.189409206339597,0.0176766722760385,TRUE
"32",72,"3.6.3.14","ATP6V1G2","ENSG00000213760","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"33",72,"3.6.3.14","ATP6V1G2","ENSG00000226850","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"34",72,"3.6.3.14","ATP6V1G2","ENSG00000227587","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"35",72,"3.6.3.14","ATP6V1G2","ENSG00000230900","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"36",72,"3.6.3.14","ATP6V1G2","ENSG00000206445","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"37",72,"3.6.3.14","ATP6V1G2","ENSG00000234920","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"38",72,"3.6.3.14","ATP6V1G2","ENSG00000234668","534",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",0.775233310838137,5.09264010991265e-06,TRUE
"39",72,"3.6.3.14","ATP6V0A1","ENSG00000033627","535",-3.42362464332885,0.00181219104903118,"Oxidative Phosphorylation",-0.331656562401054,0.000525433322499809,TRUE
